:START_ID(Industry),:END_ID(Company),:TYPE
3,002093.SZ,in_industry
3,002095.SZ,in_industry
3,002115.SZ,in_industry
3,002148.SZ,in_industry
3,002151.SZ,in_industry
3,002152.SZ,in_industry
3,002153.SZ,in_industry
3,002161.SZ,in_industry
3,002174.SZ,in_industry
3,002177.SZ,in_industry
3,002180.SZ,in_industry
3,002184.SZ,in_industry
3,002194.SZ,in_industry
3,002195.SZ,in_industry
3,002230.SZ,in_industry
3,002231.SZ,in_industry
3,002232.SZ,in_industry
3,002253.SZ,in_industry
3,002261.SZ,in_industry
3,002268.SZ,in_industry
3,002279.SZ,in_industry
3,002280.SZ,in_industry
3,002281.SZ,in_industry
3,002296.SZ,in_industry
3,002308.SZ,in_industry
3,002312.SZ,in_industry
3,002313.SZ,in_industry
3,002315.SZ,in_industry
3,002316.SZ,in_industry
3,002331.SZ,in_industry
3,002351.SZ,in_industry
3,002354.SZ,in_industry
3,002362.SZ,in_industry
3,002368.SZ,in_industry
3,002369.SZ,in_industry
3,002373.SZ,in_industry
3,002376.SZ,in_industry
3,002383.SZ,in_industry
3,002384.SZ,in_industry
3,002396.SZ,in_industry
3,002401.SZ,in_industry
3,002405.SZ,in_industry
3,002410.SZ,in_industry
3,002417.SZ,in_industry
3,002421.SZ,in_industry
3,002439.SZ,in_industry
3,002446.SZ,in_industry
3,002465.SZ,in_industry
3,002467.SZ,in_industry
3,002474.SZ,in_industry
3,002491.SZ,in_industry
3,002519.SZ,in_industry
3,002528.SZ,in_industry
3,002544.SZ,in_industry
3,002547.SZ,in_industry
3,002577.SZ,in_industry
3,002583.SZ,in_industry
3,002609.SZ,in_industry
3,002635.SZ,in_industry
3,002642.SZ,in_industry
3,002649.SZ,in_industry
3,002657.SZ,in_industry
3,300002.SZ,in_industry
3,300010.SZ,in_industry
3,300017.SZ,in_industry
3,300020.SZ,in_industry
3,300025.SZ,in_industry
3,300028.SZ,in_industry
3,300033.SZ,in_industry
3,300036.SZ,in_industry
3,300038.SZ,in_industry
3,300042.SZ,in_industry
3,300044.SZ,in_industry
3,300045.SZ,in_industry
3,300047.SZ,in_industry
3,300050.SZ,in_industry
3,300051.SZ,in_industry
3,300052.SZ,in_industry
3,300059.SZ,in_industry
3,300065.SZ,in_industry
3,300074.SZ,in_industry
3,300075.SZ,in_industry
3,300076.SZ,in_industry
3,300079.SZ,in_industry
3,300081.SZ,in_industry
3,300085.SZ,in_industry
3,300096.SZ,in_industry
3,300098.SZ,in_industry
3,300101.SZ,in_industry
3,300104.SZ,in_industry
3,300113.SZ,in_industry
3,300130.SZ,in_industry
3,300134.SZ,in_industry
