companyId:ID(Company),name:string,fullname:string,:LABEL
000851.SZ,高鸿股份,大唐高鸿数据网络技术股份有限公司,Company
000861.SZ,海印股份,广东海印集团股份有限公司,Company
000863.SZ,三湘印象,三湘印象股份有限公司,Company
000878.SZ,云南铜业,云南铜业股份有限公司,Company
000887.SZ,中鼎股份,安徽中鼎密封件股份有限公司,Company
000888.SZ,峨眉山A,峨眉山旅游股份有限公司,Company
000892.SZ,欢瑞世纪,欢瑞世纪联合股份有限公司,Company
000897.SZ,津滨发展,天津津滨发展股份有限公司,Company
000918.SZ,嘉凯城,嘉凯城集团股份有限公司,Company
000926.SZ,福星股份,湖北福星科技股份有限公司,Company
000931.SZ,中关村,北京中关村科技发展(控股)股份有限公司,Company
000938.SZ,紫光股份,紫光股份有限公司,Company
000948.SZ,南天信息,云南南天电子信息产业股份有限公司,Company
000960.SZ,锡业股份,云南锡业股份有限公司,Company
000962.SZ,东方钽业,宁夏东方钽业股份有限公司,Company
000965.SZ,天保基建,天津天保基建股份有限公司,Company
000970.SZ,中科三环,北京中科三环高技术股份有限公司,Company
000977.SZ,浪潮信息,浪潮电子信息产业股份有限公司,Company
000978.SZ,桂林旅游,桂林旅游股份有限公司,Company
000981.SZ,*ST银亿,银亿股份有限公司,Company
000985.SZ,大庆华科,大庆华科股份有限公司,Company
000990.SZ,诚志股份,诚志股份有限公司,Company
000997.SZ,新大陆,新大陆数字技术股份有限公司,Company
001914.SZ,招商积余,招商局积余产业运营服务股份有限公司,Company
002010.SZ,传化智联,传化智联股份有限公司,Company
002014.SZ,永新股份,黄山永新股份有限公司,Company
002016.SZ,世荣兆业,广东世荣兆业股份有限公司,Company
002017.SZ,东信和平,东信和平科技股份有限公司,Company
002027.SZ,分众传媒,分众传媒信息技术股份有限公司,Company
002033.SZ,丽江股份,丽江玉龙旅游股份有限公司,Company
002037.SZ,保利联合,保利联合化工控股集团股份有限公司,Company
002052.SZ,*ST同洲,深圳市同洲电子股份有限公司,Company
002053.SZ,云南能投,云南能源投资股份有限公司,Company
002054.SZ,德美化工,广东德美精细化工集团股份有限公司,Company
002059.SZ,云南旅游,云南旅游股份有限公司,Company
002061.SZ,浙江交科,浙江交通科技股份有限公司,Company
002063.SZ,远光软件,远光软件股份有限公司,Company
002065.SZ,东华软件,东华软件股份公司,Company
002068.SZ,黑猫股份,江西黑猫炭黑股份有限公司,Company
002073.SZ,软控股份,软控股份有限公司,Company
002077.SZ,*ST大港,江苏大港股份有限公司,Company
002082.SZ,万邦德,万邦德医药控股集团股份有限公司,Company
002089.SZ,ST新海,新海宜科技集团股份有限公司,Company
002090.SZ,金智科技,江苏金智科技股份有限公司,Company
002092.SZ,中泰化学,新疆中泰化学股份有限公司,Company
002093.SZ,国脉科技,国脉科技股份有限公司,Company
002094.SZ,青岛金王,青岛金王应用化学股份有限公司,Company
002095.SZ,生意宝,浙江网盛生意宝股份有限公司,Company
002096.SZ,南岭民爆,湖南南岭民用爆破器材股份有限公司,Company
002109.SZ,兴化股份,陕西兴化化学股份有限公司,Company
002114.SZ,罗平锌电,云南罗平锌电股份有限公司,Company
002115.SZ,三维通信,三维通信股份有限公司,Company
002125.SZ,湘潭电化,湘潭电化科技股份有限公司,Company
002133.SZ,广宇集团,广宇集团股份有限公司,Company
002136.SZ,安纳达,安徽安纳达钛业股份有限公司,Company
002142.SZ,宁波银行,宁波银行股份有限公司,Company
002145.SZ,中核钛白,中核华原钛白股份有限公司,Company
002146.SZ,荣盛发展,荣盛房地产发展股份有限公司,Company
002148.SZ,北纬科技,北京北纬通信科技股份有限公司,Company
002149.SZ,西部材料,西部金属材料股份有限公司,Company
002151.SZ,北斗星通,北京北斗星通导航技术股份有限公司,Company
002152.SZ,广电运通,广州广电运通金融电子股份有限公司,Company
002153.SZ,石基信息,北京中长石基信息技术股份有限公司,Company
002155.SZ,湖南黄金,湖南黄金股份有限公司,Company
002159.SZ,三特索道,武汉三特索道集团股份有限公司,Company
002160.SZ,常铝股份,江苏常铝铝业集团股份有限公司,Company
002161.SZ,远望谷,深圳市远望谷信息技术股份有限公司,Company
002165.SZ,红宝丽,红宝丽集团股份有限公司,Company
002167.SZ,东方锆业,广东东方锆业科技股份有限公司,Company
002171.SZ,楚江新材,安徽楚江科技新材料股份有限公司,Company
002174.SZ,游族网络,游族网络股份有限公司,Company
002177.SZ,御银股份,广州御银科技股份有限公司,Company
002180.SZ,纳思达,纳思达股份有限公司,Company
002182.SZ,云海金属,南京云海特种金属股份有限公司,Company
002184.SZ,海得控制,上海海得控制系统股份有限公司,Company
002186.SZ,全聚德,中国全聚德(集团)股份有限公司,Company
002192.SZ,*ST融捷,融捷股份有限公司,Company
002194.SZ,武汉凡谷,武汉凡谷电子技术股份有限公司,Company
002195.SZ,二三四五,上海二三四五网络控股集团股份有限公司,Company
002201.SZ,九鼎新材,江苏九鼎新材料股份有限公司,Company
002203.SZ,海亮股份,浙江海亮股份有限公司,Company
002208.SZ,合肥城建,合肥城建发展股份有限公司,Company
002211.SZ,宏达新材,上海宏达新材料股份有限公司,Company
002217.SZ,合力泰,合力泰科技股份有限公司,Company
002224.SZ,三力士,三力士股份有限公司,Company
002226.SZ,江南化工,安徽江南化工股份有限公司,Company
002230.SZ,科大讯飞,科大讯飞股份有限公司,Company
002231.SZ,奥维通信,奥维通信股份有限公司,Company
002232.SZ,启明信息,启明信息技术股份有限公司,Company
002237.SZ,恒邦股份,山东恒邦冶炼股份有限公司,Company
002244.SZ,滨江集团,杭州滨江房产集团股份有限公司,Company
002246.SZ,北化股份,北方化学工业股份有限公司,Company
002250.SZ,联化科技,联化科技股份有限公司,Company
002253.SZ,川大智胜,四川川大智胜软件股份有限公司,Company
002256.SZ,*ST兆新,深圳市兆新能源股份有限公司,Company
002261.SZ,拓维信息,拓维信息系统股份有限公司,Company
002268.SZ,卫士通,成都卫士通信息产业股份有限公司,Company
002279.SZ,久其软件,北京久其软件股份有限公司,Company
002280.SZ,*ST联络,杭州联络互动信息科技股份有限公司,Company
002281.SZ,光迅科技,武汉光迅科技股份有限公司,Company
002285.SZ,世联行,深圳世联行集团股份有限公司,Company
002295.SZ,精艺股份,广东精艺金属股份有限公司,Company
002296.SZ,辉煌科技,河南辉煌科技股份有限公司,Company
002305.SZ,南国置业,南国置业股份有限公司,Company
002306.SZ,ST云网,中科云网科技集团股份有限公司,Company
002308.SZ,威创股份,威创集团股份有限公司,Company
002312.SZ,三泰控股,成都三泰控股集团股份有限公司,Company
002313.SZ,日海智能,日海智能科技股份有限公司,Company
002315.SZ,焦点科技,焦点科技股份有限公司,Company
002316.SZ,亚联发展,深圳亚联发展科技股份有限公司,Company
002319.SZ,*ST乐通,珠海市乐通化工股份有限公司,Company
002326.SZ,永太科技,浙江永太科技股份有限公司,Company
002331.SZ,皖通科技,安徽皖通科技股份有限公司,Company
002333.SZ,ST罗普,苏州罗普斯金铝业股份有限公司,Company
002340.SZ,格林美,格林美股份有限公司,Company
002341.SZ,新纶科技,深圳市新纶科技股份有限公司,Company
002351.SZ,漫步者,深圳市漫步者科技股份有限公司,Company
002354.SZ,*ST天娱,大连天神娱乐股份有限公司,Company
002360.SZ,同德化工,山西同德化工股份有限公司,Company
002361.SZ,神剑股份,安徽神剑新材料股份有限公司,Company
002362.SZ,汉王科技,汉王科技股份有限公司,Company
002368.SZ,太极股份,太极计算机股份有限公司,Company
002369.SZ,卓翼科技,深圳市卓翼科技股份有限公司,Company
002373.SZ,千方科技,北京千方科技股份有限公司,Company
002376.SZ,新北洋,山东新北洋信息技术股份有限公司,Company
002377.SZ,国创高新,湖北国创高新材料股份有限公司,Company
002378.SZ,章源钨业,崇义章源钨业股份有限公司,Company
002379.SZ,宏创控股,山东宏创铝业控股股份有限公司,Company
002381.SZ,双箭股份,浙江双箭橡胶股份有限公司,Company
002383.SZ,合众思壮,北京合众思壮科技股份有限公司,Company
002384.SZ,东山精密,苏州东山精密制造股份有限公司,Company
002386.SZ,天原集团,宜宾天原集团股份有限公司,Company
002395.SZ,双象股份,无锡双象超纤材料股份有限公司,Company
002396.SZ,星网锐捷,福建星网锐捷通讯股份有限公司,Company
002401.SZ,中远海科,中远海运科技股份有限公司,Company
002405.SZ,四维图新,北京四维图新科技股份有限公司,Company
002407.SZ,多氟多,多氟多化工股份有限公司,Company
002408.SZ,齐翔腾达,淄博齐翔腾达化工股份有限公司,Company
002409.SZ,雅克科技,江苏雅克科技股份有限公司,Company
002410.SZ,广联达,广联达科技股份有限公司,Company
002411.SZ,延安必康,延安必康制药股份有限公司,Company
002417.SZ,深南股份,深南金科股份有限公司,Company
002421.SZ,达实智能,深圳达实智能股份有限公司,Company
002428.SZ,云南锗业,云南临沧鑫圆锗业股份有限公司,Company
002439.SZ,启明星辰,启明星辰信息技术集团股份有限公司,Company
002440.SZ,闰土股份,浙江闰土股份有限公司,Company
002442.SZ,龙星化工,龙星化工股份有限公司,Company
002446.SZ,盛路通信,广东盛路通信科技股份有限公司,Company
002453.SZ,华软科技,金陵华软科技股份有限公司,Company
002455.SZ,百川股份,江苏百川高科新材料股份有限公司,Company
002460.SZ,赣锋锂业,江西赣锋锂业股份有限公司,Company
002465.SZ,海格通信,广州海格通信集团股份有限公司,Company
002466.SZ,天齐锂业,天齐锂业股份有限公司,Company
002467.SZ,二六三,二六三网络通信股份有限公司,Company
002474.SZ,榕基软件,福建榕基软件股份有限公司,Company
