name,holderId:ID(Holder),:LABEL
陈永明,191,Holder
中国建设银行,192,Holder
吕亚军,193,Holder
金国新,194,Holder
张锡锋,195,Holder
欧阳纯正,196,Holder
韦晓玲,197,Holder
曹昱,198,Holder
青岛红星化工,199,Holder
兴业银行,200,Holder
中国昊华化工,201,Holder
盈投控股,202,Holder
国家军民融合产业投资基金,203,Holder
昊华化工,204,Holder
深圳嘉年实业,205,Holder
孙惠光,206,Holder
洛阳国宏投资,207,Holder
唐山三友碱业,208,Holder
唐山三友,209,Holder
国泰基金管理,210,Holder
唐山投资,211,Holder
平安资产,212,Holder
江苏澄利投资咨询,213,Holder
双良,214,Holder
江阴同盛企业管理中心,215,Holder
江苏双良科技,216,Holder
江苏利创新能源,217,Holder
缪双大,218,Holder
朱斌琳,219,Holder
韩群曜,220,Holder
姜雷,221,Holder
西藏风格投资管理,222,Holder
上海鹏欣农业投资,223,Holder
国开装备制造产业投资基金,224,Holder
前海人寿保险,225,Holder
谈意道,226,Holder
上海逸合投资管理,227,Holder
西藏智冠投资管理,228,Holder
姜照柏,229,Holder
上海鹏欣,230,Holder
夏永全,231,Holder
万载县银河湾投资,232,Holder
银河湾国际投资,233,Holder
陈建根,234,Holder
李建民,235,Holder
楼国英,236,Holder
湖南蠡源晟投资管理,237,Holder
赵伟平,238,Holder
唐华栋,239,Holder
吴健,240,Holder
中国工商银行,241,Holder
中国银行无锡分行,242,Holder
方建伟,243,Holder
刘政达,244,Holder
孙月龙,245,Holder
ISHARES CORE MSCI EMERGING MARKETS ETF,246,Holder
VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,247,Holder
VANGUARD EMERGING MARKETS STOCK INDEX FUND,248,Holder
上海华谊,249,Holder
姚世娴,250,Holder
钟子春,251,Holder
深圳和沣资产管理,252,Holder
关本立,253,Holder
国新文化控股回购专用证券账户,254,Holder
樟树睿科投资管理中心,255,Holder
中国文化产业发展,256,Holder
冀中能源,257,Holder
冀中能源峰峰,258,Holder
郭强,259,Holder
李荣军,260,Holder
沈智瑜,261,Holder
樊菲,262,Holder
张金梅,263,Holder
荆学忠,264,Holder
江苏索普,265,Holder
镇江国有投资控股,266,Holder
中国东方资产管理,267,Holder
翁凯毅,268,Holder
宗凤贯,269,Holder
马孟青,270,Holder
王建华,271,Holder
余乃勇,272,Holder
蒋剑锋,273,Holder
丹阳丹化运输,274,Holder
江苏丹化,275,Holder
中建明茂投资发展,276,Holder
高仕军,277,Holder
吉林丰成顺农业,278,Holder
李利伟,279,Holder
盛济良,280,Holder
北京顶尖私行资本管理,281,Holder
江苏丹化煤制化学品工程技术,282,Holder
嘉融投资,283,Holder
安徽全威铜业控股,284,Holder
国元股权投资,285,Holder
宝钢资源,286,Holder
安徽能源,287,Holder
淮南矿业,288,Holder
国华能源投资,289,Holder
中国信达资产管理,290,Holder
淮北矿业,291,Holder
海南发展控股,292,Holder
张国玲,293,Holder
柴长茂,294,Holder
信泰人寿保险,295,Holder
新余高新区裕宜安投资合伙企业,296,Holder
广东粤财信托,297,Holder
长城股权投资基金管理,298,Holder
海南农垦投资控股,299,Holder
熊海涛,300,Holder
高金技术产业,301,Holder
熊玲瑶,302,Holder
唐安斌,303,Holder
于少波,304,Holder
四川东材科技回购专用证券帐户,305,Holder
余峰,306,Holder
易武,307,Holder
翟晓枫,308,Holder
杜江涛,309,Holder
乌海君正科技产业,310,Holder
田秀英,311,Holder
中信信诚资产,312,Holder
黄辉,313,Holder
戚石川,314,Holder
金建全,315,Holder
滨州水木有恒投资基金合伙企业,316,Holder
张忠正,317,Holder
石秦岭,318,Holder
滨州财金投资,319,Holder
滨化回购专用证券账户,320,Holder
润物控股,321,Holder
李德敏,322,Holder
王黎明,323,Holder
李剑东,324,Holder
