:END_ID(Company),annDate:date,holderFullname:string,holdRatio:double,:START_ID(Company),:TYPE
300136.SZ,2020-10-29,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,1.47,601988.SH,hold_stock
300136.SZ,2020-10-29,招商银行股份有限公司-兴全轻资产投资混合型证券投资基金(LOF),1.33,600036.SH,hold_stock
300136.SZ,2020-10-29,招商银行股份有限公司-睿远成长价值混合型证券投资基金,1.17,600036.SH,hold_stock
300136.SZ,2020-10-29,中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF),0.77,601818.SH,hold_stock
300136.SZ,2020-10-29,招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF),0.76,600036.SH,hold_stock
300168.SZ,2020-10-29,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001深,13.18,601628.SH,hold_stock
300168.SZ,2020-10-29,中国人寿保险股份有限公司-分红-个人分红-005L-FH002深,4.99,601628.SH,hold_stock
300168.SZ,2020-10-29,交通银行-融通行业景气证券投资基金,1.18,601328.SH,hold_stock
300188.SZ,2020-10-28,中国建设银行股份有限公司-交银施罗德阿尔法核心混合型证券投资基金,2.06,601939.SH,hold_stock
300188.SZ,2020-10-28,招商银行股份有限公司-泓德睿泽混合型证券投资基金,1.45,600036.SH,hold_stock
300188.SZ,2020-10-28,中国建设银行股份有限公司-中欧创业板两年定期开放混合型证券投资基金,1.34,601939.SH,hold_stock
300188.SZ,2020-10-28,中国工商银行股份有限公司-交银施罗德优势行业灵活配置混合型证券投资基金,1.24,601398.SH,hold_stock
300212.SZ,2020-10-28,中国建设银行股份有限公司-广发多元新兴股票型证券投资基金,1.49,601939.SH,hold_stock
300212.SZ,2020-10-28,中国工商银行股份有限公司-广发双擎升级混合型证券投资基金,1.57,601398.SH,hold_stock
300212.SZ,2020-10-28,上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF),2.09,600000.SH,hold_stock
300212.SZ,2020-10-28,中国建设银行股份有限公司-广发科技先锋混合型证券投资基金,3.08,601939.SH,hold_stock
300213.SZ,2020-11-10,中国农业银行股份有限公司-华夏复兴混合型证券投资基金,0.96,601288.SH,hold_stock
300226.SZ,2020-10-30,中国工商银行股份有限公司-易方达新兴成长灵活配置混合型证券投资基金,1.41,601398.SH,hold_stock
300226.SZ,2020-10-30,中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF),4.3,601398.SH,hold_stock
300231.SZ,2020-10-29,中国光大银行股份有限公司-泰信先行策略开放式证券投资基金,0.63,601818.SH,hold_stock
300231.SZ,2020-10-29,招商银行股份有限公司-光大保德信优势配置混合型证券投资基金,0.26,600036.SH,hold_stock
300250.SZ,2020-10-28,杭州初灵信息技术股份有限公司-第二期员工持股计划,1.51,300250.SZ,hold_stock
300253.SZ,2020-10-30,中国建设银行股份有限公司-广发科技先锋混合型证券投资基金,1.55,601939.SH,hold_stock
300253.SZ,2020-10-30,上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF),1.34,600000.SH,hold_stock
300253.SZ,2020-10-30,中国工商银行股份有限公司-易方达新兴成长灵活配置混合型证券投资基金,1.25,601398.SH,hold_stock
300270.SZ,2020-10-29,交通银行股份有限公司-博时新兴成长混合型证券投资基金,1.12,601328.SH,hold_stock
300271.SZ,2020-10-26,中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF),3.09,601818.SH,hold_stock
300271.SZ,2020-10-26,中国建设银行股份有限公司-交银施罗德阿尔法核心混合型证券投资基金,2.08,601939.SH,hold_stock
300271.SZ,2020-10-26,中国工商银行股份有限公司-交银施罗德优势行业灵活配置混合型证券投资基金,1.28,601398.SH,hold_stock
300302.SZ,2020-10-30,东兴证券-东兴证券股份有限公司-证券行业支持民营企业发展系列之东兴证券3号单一资产管理计划,1.08,601198.SH,hold_stock
300315.SZ,2020-10-29,中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金,1.82,601398.SH,hold_stock
300315.SZ,2020-10-29,中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金,1.02,601398.SH,hold_stock
300322.SZ,2020-10-30,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,1.24,601988.SH,hold_stock
300348.SZ,2020-10-28,招商银行股份有限公司-鹏华新兴产业混合型证券投资基金,3.21,600036.SH,hold_stock
300352.SZ,2020-10-30,中国银行股份有限公司-华夏行业精选混合型证券投资基金(LOF),1.05,601988.SH,hold_stock
300352.SZ,2020-10-30,中国工商银行股份有限公司-嘉实主题新动力混合型证券投资基金,0.32,601398.SH,hold_stock
300378.SZ,2020-10-30,中国建设银行股份有限公司-南方信息创新混合型证券投资基金,3.2,601939.SH,hold_stock
300379.SZ,2020-10-23,北京东方通科技股份有限公司-第一期员工持股计划,3.67,300379.SZ,hold_stock
300379.SZ,2020-10-23,中国银行股份有限公司-海富通股票混合型证券投资基金,3.44,601988.SH,hold_stock
300383.SZ,2020-10-28,中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,0.47,601398.SH,hold_stock
300394.SZ,2020-10-23,中国建设银行股份有限公司-易方达信息产业混合型证券投资基金,1.88,601939.SH,hold_stock
300394.SZ,2020-10-23,招商银行股份有限公司-鹏华新兴产业混合型证券投资基金,1.35,600036.SH,hold_stock
300394.SZ,2020-10-23,中国工商银行股份有限公司-财通价值动量混合型证券投资基金,1.21,601398.SH,hold_stock
300394.SZ,2020-10-23,中国工商银行股份有限公司-财通成长优选混合型证券投资基金,1.19,601398.SH,hold_stock
300394.SZ,2020-10-23,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,1.04,601988.SH,hold_stock
300397.SZ,2020-10-28,中国建设银行股份有限公司-长信国防军工量化灵活配置混合型证券投资基金,0.36,601939.SH,hold_stock
300440.SZ,2020-10-29,中国工商银行股份有限公司-华商新锐产业灵活配置混合型证券投资基金,0.48,601398.SH,hold_stock
600111.SH,2020-10-27,中国工商银行股份有限公司-南方中证申万有色金属交易型开放式指数证券投资基金,0.3,601398.SH,hold_stock
600219.SH,2020-10-27,中国工商银行股份有限公司-南方中证申万有色金属交易型开放式指数证券投资基金,0.3,601398.SH,hold_stock
600259.SH,2020-10-31,中国工商银行股份有限公司-南方中证申万有色金属交易型开放式指数证券投资基金,0.3,601398.SH,hold_stock
600362.SH,2020-10-31,江西铜业集团有限公司,43.72,600362.SH,hold_stock
600362.SH,2020-10-31,中国工商银行股份有限公司-南方中证申万有色金属交易型开放式指数证券投资基金,0.15,601398.SH,hold_stock
600362.SH,2020-10-31,中国银行-易方达积极成长证券投资基金,0.21,601988.SH,hold_stock
600456.SH,2020-10-27,中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金,0.75,601939.SH,hold_stock
600456.SH,2020-10-27,新华人寿保险股份有限公司-分红-团体分红-018L-FH001沪,2.56,601336.SH,hold_stock
600459.SH,2020-10-29,中国建设银行股份有限公司-国泰国证有色金属行业指数分级证券投资基金,0.33,601939.SH,hold_stock
600497.SH,2020-10-27,云南驰宏锌锗股份有限公司-第一期员工持股计划,0.75,600497.SH,hold_stock
600531.SH,2020-10-30,河南豫光金铅集团有限责任公司,29.61,600531.SH,hold_stock
600961.SH,2020-10-31,株洲冶炼集团有限责任公司,40.24,600961.SH,hold_stock
601137.SH,2020-10-27,中国建设银行股份有限公司-交银施罗德启明混合型证券投资基金,1.01,601939.SH,hold_stock
601137.SH,2020-10-27,中国农业银行股份有限公司-交银施罗德先进制造混合型证券投资基金,1.42,601288.SH,hold_stock
601168.SH,2020-10-28,西部矿业集团有限公司,29.99,601168.SH,hold_stock
601600.SH,2020-10-28,中国铝业集团有限公司,29.67,601600.SH,hold_stock
601600.SH,2020-10-28,中国人寿保险股份有限公司,3.95,601628.SH,hold_stock
601899.SH,2020-10-20,兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金,1.0,601166.SH,hold_stock
601899.SH,2020-10-20,兴业银行股份有限公司-兴全趋势投资混合型证券投资基金,1.43,601166.SH,hold_stock
601958.SH,2020-10-29,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.15,601288.SH,hold_stock
601958.SH,2020-10-29,中国工商银行股份有限公司-南方中证申万有色金属交易型开放式指数证券投资基金,0.15,601398.SH,hold_stock
601958.SH,2020-10-29,金堆城钼业集团有限公司,74.98,601958.SH,hold_stock
000060.SZ,2020-10-29,云南铜业股份有限公司,0.92,000878.SZ,hold_stock
000603.SZ,2020-10-29,中国建设银行股份有限公司-银华同力精选混合型证券投资基金,2.07,601939.SH,hold_stock
000603.SZ,2020-10-29,中信证券股份有限公司-前海开源金银珠宝主题精选灵活配置混合型证券投资基金,1.93,600030.SH,hold_stock
000630.SZ,2020-10-30,中信证券股份有限公司,0.62,600030.SH,hold_stock
000758.SZ,2020-10-30,中国工商银行股份有限公司-南方中证申万有色金属交易型开放式指数证券投资基金,0.35,601398.SH,hold_stock
000758.SZ,2020-10-30,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.37,601288.SH,hold_stock
000758.SZ,2020-10-30,长江证券股份有限公司,0.4,000783.SZ,hold_stock
000807.SZ,2020-10-22,新华人寿保险股份有限公司-分红-团体分红-018L-FH001深,0.36,601336.SH,hold_stock
000807.SZ,2020-10-22,中国铝业股份有限公司,10.04,601600.SH,hold_stock
000831.SZ,2020-10-24,中国农业银行股份有限公司-银华内需精选混合型证券投资基金(LOF),0.92,601288.SH,hold_stock
000831.SZ,2020-10-24,五矿稀土集团有限公司,23.98,000831.SZ,hold_stock
000878.SZ,2020-10-27,云南铜业(集团)有限公司,37.51,000878.SZ,hold_stock
000960.SZ,2020-10-24,云南锡业集团(控股)有限责任公司,12.49,000960.SZ,hold_stock
000960.SZ,2020-10-24,云南锡业集团有限责任公司,32.52,000960.SZ,hold_stock
000960.SZ,2020-10-24,中国银行-易方达积极成长证券投资基金,0.96,601988.SH,hold_stock
002155.SZ,2020-10-27,中国建设银行股份有限公司-银华同力精选混合型证券投资基金,0.47,601939.SH,hold_stock
002155.SZ,2020-10-27,中信证券股份有限公司-前海开源金银珠宝主题精选灵活配置混合型证券投资基金,1.86,600030.SH,hold_stock
002155.SZ,2020-10-27,湖南黄金集团有限责任公司,38.77,002155.SZ,hold_stock
002167.SZ,2020-10-27,龙蟒佰利联集团股份有限公司,15.66,002601.SZ,hold_stock
002171.SZ,2020-10-30,安徽楚江科技新材料股份有限公司-第三期员工持股计划,0.95,002171.SZ,hold_stock
002182.SZ,2020-10-23,中国银行股份有限公司-富国创新趋势股票型证券投资基金,2.55,601988.SH,hold_stock
002182.SZ,2020-10-23,中国工商银行股份有限公司-博时精选混合型证券投资基金,1.33,601398.SH,hold_stock
002182.SZ,2020-10-23,中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF),0.81,601398.SH,hold_stock
002182.SZ,2020-10-23,中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF),3.3,601818.SH,hold_stock
002237.SZ,2020-10-23,江西铜业股份有限公司,29.99,600362.SH,hold_stock
002237.SZ,2020-10-23,中信证券股份有限公司-前海开源金银珠宝主题精选灵活配置混合型证券投资基金,1.47,600030.SH,hold_stock
002237.SZ,2020-10-23,中国工商银行股份有限公司-博时精选混合型证券投资基金,0.71,601398.SH,hold_stock
002237.SZ,2020-10-23,中国银行股份有限公司-易方达均衡成长股票型证券投资基金,0.7,601988.SH,hold_stock
002340.SZ,2020-10-31,中国建设银行股份有限公司-富国中证新能源汽车指数分级证券投资基金,0.88,601939.SH,hold_stock
002340.SZ,2020-10-31,中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金,1.21,601988.SH,hold_stock
002460.SZ,2020-10-30,中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金,1.6,601398.SH,hold_stock
002460.SZ,2020-10-30,中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金,0.56,601939.SH,hold_stock
002460.SZ,2020-10-30,兴业银行股份有限公司-广发稳健优选六个月持有期混合型证券投资基金,0.54,601166.SH,hold_stock
300034.SZ,2020-10-29,新华人寿保险股份有限公司-分红-团体分红-018FH001深,2.11,601336.SH,hold_stock
300034.SZ,2020-10-29,中国建设银行股份有限公司-博时军工主题股票型证券投资基金,1.01,601939.SH,hold_stock
300034.SZ,2020-10-29,中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金,0.75,601939.SH,hold_stock
600067.SH,2020-10-20,陕西省国际信托股份有限公司-陕国投·冠城大通第二期员工持股证券投资集合资金信托计划,2.55,000563.SZ,hold_stock
600067.SH,2020-10-20,冠城大通股份有限公司-第1期员工持股计划,1.51,600067.SH,hold_stock
600077.SH,2020-10-31,宋都基业投资股份有限公司-2018年员工持股计划,2.46,600077.SH,hold_stock
600077.SH,2020-10-31,宋都基业投资股份有限公司-2016年员工持股计划,3.73,600077.SH,hold_stock
600095.SH,2020-10-31,新湖中宝股份有限公司,2.97,600208.SH,hold_stock
600133.SH,2020-10-31,中信证券股份有限公司,0.98,600030.SH,hold_stock
600133.SH,2020-10-31,武汉长江通信产业集团股份有限公司,3.25,600345.SH,hold_stock
600162.SH,2020-10-31,招商银行股份有限公司-上证红利交易型开放式指数证券投资基金,0.99,600036.SH,hold_stock
600173.SH,2020-11-10,浙江龙盛集团股份有限公司,12.1,600352.SH,hold_stock
600173.SH,2020-10-29,浙江龙盛集团股份有限公司,11.34,600352.SH,hold_stock
600223.SH,2020-10-27,中国农业银行股份有限公司-交银施罗德成长混合型证券投资基金,0.66,601288.SH,hold_stock
600223.SH,2020-10-27,兴业证券股份有限公司,0.84,601377.SH,hold_stock
600533.SH,2020-10-31,南京栖霞建设集团有限公司,34.37,600533.SH,hold_stock
600565.SH,2020-10-29,招商银行股份有限公司-上证红利交易型开放式指数证券投资基金,1.36,600036.SH,hold_stock
600606.SH,2020-10-27,中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF),0.12,601818.SH,hold_stock
600606.SH,2020-10-27,中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金,0.63,601398.SH,hold_stock
600621.SH,2020-10-30,中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金,0.44,601939.SH,hold_stock
600621.SH,2020-10-30,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,0.8,601939.SH,hold_stock
600621.SH,2020-10-30,中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金,0.48,601398.SH,hold_stock
600641.SH,2020-10-30,招商银行股份有限公司-银河创新成长混合型证券投资基金,0.31,600036.SH,hold_stock
600663.SH,2020-10-30,中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金,0.75,601398.SH,hold_stock
600675.SH,2020-10-31,中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金,1.04,601398.SH,hold_stock
600724.SH,2020-10-27,中国建设银行股份有限公司-广发中证全指建筑材料指数型发起式证券投资基金,0.17,601939.SH,hold_stock
600724.SH,2020-10-27,中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF),0.25,601988.SH,hold_stock
600743.SH,2020-10-30,南京栖霞建设股份有限公司,2.06,600533.SH,hold_stock
600773.SH,2020-10-24,中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金,0.47,601398.SH,hold_stock
600823.SH,2020-10-30,招商银行股份有限公司-汇添富绝对收益策略定期开放混合型发起式证券投资基金,0.54,600036.SH,hold_stock
600862.SH,2020-10-23,中国银行股份有限公司-兴全合丰三年持有期混合型证券投资基金,0.65,601988.SH,hold_stock
600862.SH,2020-10-23,中国建设银行股份有限公司-兴全社会责任混合型证券投资基金,1.08,601939.SH,hold_stock
600862.SH,2020-10-23,招商银行股份有限公司-鹏华新兴产业混合型证券投资基金,0.96,600036.SH,hold_stock
600862.SH,2020-10-23,中国工商银行股份有限公司-富国军工主题混合型证券投资基金,0.83,601398.SH,hold_stock
601588.SH,2020-10-29,北京北辰实业集团有限责任公司,34.482,601588.SH,hold_stock
000002.SZ,2020-10-30,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001深,0.74,601628.SH,hold_stock
000002.SZ,2020-10-30,中国人寿保险股份有限公司-分红-个人分红-005L-FH002深,0.93,601628.SH,hold_stock
000002.SZ,2020-10-30,国信证券-工商银行-国信金鹏分级1号集合资产管理计划,3.93,002736.SZ,hold_stock
000009.SZ,2020-10-29,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.5,601288.SH,hold_stock
000011.SZ,2020-10-26,中国银行股份有限公司-泰达宏利高研发创新6个月持有期混合型证券投资基金,0.17,601988.SH,hold_stock
000011.SZ,2020-10-26,中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF),1.85,601398.SH,hold_stock
000011.SZ,2020-10-26,中国工商银行股份有限公司-富国成长优选三年定期开放灵活配置混合型证券投资基金,0.19,601398.SH,hold_stock
000031.SZ,2020-10-30,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.14,601288.SH,hold_stock
000036.SZ,2020-10-31,中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金,1.08,601398.SH,hold_stock
000036.SZ,2020-10-31,中国建设银行股份有限公司-大成中证红利指数证券投资基金,0.55,601939.SH,hold_stock
000402.SZ,2020-10-31,中国银行-易方达稳健收益债券型证券投资基金,0.47,601988.SH,hold_stock
000526.SZ,2020-10-29,中国建设银行股份有限公司-交银施罗德蓝筹混合型证券投资基金,1.71,601939.SH,hold_stock
000526.SZ,2020-10-29,中国农业银行股份有限公司-交银施罗德成长混合型证券投资基金,1.91,601288.SH,hold_stock
000526.SZ,2020-10-29,紫光集团有限公司,2.18,000938.SZ,hold_stock
000526.SZ,2020-10-29,兴业银行股份有限公司-工银瑞信文体产业股票型证券投资基金,2.41,601166.SH,hold_stock
000537.SZ,2020-10-30,中国工商银行股份有限公司-中欧潜力价值灵活配置混合型证券投资基金,0.49,601398.SH,hold_stock
000537.SZ,2020-10-30,中国建设银行股份有限公司-中欧价值发现股票型证券投资基金,0.65,601939.SH,hold_stock
000537.SZ,2020-10-30,招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金,1.01,600036.SH,hold_stock
000540.SZ,2020-10-30,中天金融集团股份有限公司,0.45,000540.SZ,hold_stock
000631.SZ,2020-10-17,中国建设银行股份有限公司-华商未来主题混合型证券投资基金,0.47,601939.SH,hold_stock
000631.SZ,2020-10-17,中国民生银行股份有限公司-华商领先企业混合型证券投资基金,1.64,600016.SH,hold_stock
000656.SZ,2020-10-30,金科地产集团股份有限公司-第一期员工持股计划,4.14,000656.SZ,hold_stock
000718.SZ,2020-10-28,苏宁环球集团有限公司,23.46,000718.SZ,hold_stock
000736.SZ,2020-10-30,中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金,0.43,601398.SH,hold_stock
000797.SZ,2020-10-29,泰禾集团股份有限公司,0.98,000732.SZ,hold_stock
000979.SZ,2020-10-30,东吴证券股份有限公司,3.15,601555.SH,hold_stock
001914.SZ,2020-10-20,中国农业银行股份有限公司-平安低碳经济混合型证券投资基金,0.64,601288.SH,hold_stock
001914.SZ,2020-10-20,中国建设银行股份有限公司-汇添富消费行业混合型证券投资基金,1.6,601939.SH,hold_stock
001914.SZ,2020-10-20,中国建设银行股份有限公司-华安宏利混合型证券投资基金,0.88,601939.SH,hold_stock
001914.SZ,2020-10-20,中国工商银行股份有限公司-汇添富开放视野中国优势六个月持有期股票型证券投资基金,0.64,601398.SH,hold_stock
001914.SZ,2020-10-20,中国建设银行股份有限公司-宝盈资源优选混合型证券投资基金,0.59,601939.SH,hold_stock
002016.SZ,2020-10-30,中国建设银行股份有限公司-大成中证红利指数证券投资基金,0.34,601939.SH,hold_stock
002016.SZ,2020-10-30,中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金,0.6,601398.SH,hold_stock
002285.SZ,2020-10-31,中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF),1.2,601398.SH,hold_stock
002285.SZ,2020-10-31,广发证券股份有限公司-大成睿景灵活配置混合型证券投资基金,0.95,000776.SZ,hold_stock
600030.SH,2020-10-30,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,1.3,601939.SH,hold_stock
600109.SH,2020-10-30,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,1.45,601939.SH,hold_stock
600643.SH,2020-10-29,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.3,601288.SH,hold_stock
600830.SH,2020-10-31,海通证券股份有限公司,0.66,600837.SH,hold_stock
601099.SH,2020-10-31,中国银行股份有限公司-招商中证全指证券公司指数分级证券投资基金,0.43,601988.SH,hold_stock
601099.SH,2020-10-31,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.51,601288.SH,hold_stock
601099.SH,2020-10-31,中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金,1.0,601939.SH,hold_stock
601099.SH,2020-10-31,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,2.02,601939.SH,hold_stock
601198.SH,2020-10-31,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,1.02,601939.SH,hold_stock
601198.SH,2020-10-31,中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金,0.55,601939.SH,hold_stock
601288.SH,2020-10-31,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪,0.81,601628.SH,hold_stock
601288.SH,2020-10-31,中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪,0.74,601628.SH,hold_stock
601398.SH,2020-10-31,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪,0.13,601628.SH,hold_stock
601555.SH,2020-10-31,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,1.6,601939.SH,hold_stock
601628.SH,2020-10-29,中国工商银行-上证50交易型开放式指数证券投资基金,0.04,601398.SH,hold_stock
601628.SH,2020-10-29,中国人寿保险(集团)公司,68.37,601628.SH,hold_stock
601788.SH,2020-10-29,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,0.85,601939.SH,hold_stock
601901.SH,2020-10-31,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,1.0,601939.SH,hold_stock
601988.SH,2020-10-31,中国人寿保险(集团)公司-传统-普通保险产品-港股通(创新策略),0.06,601628.SH,hold_stock
601988.SH,2020-10-31,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪,0.24,601628.SH,hold_stock
601988.SH,2020-10-31,中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪,0.33,601628.SH,hold_stock
601998.SH,2020-10-30,中国建设银行股份有限公司,0.34,601939.SH,hold_stock
000001.SZ,2020-10-22,中国建设银行股份有限公司-华安聚优精选混合型证券投资基金,0.34,601939.SH,hold_stock
000001.SZ,2020-10-22,中国平安保险(集团)股份有限公司-集团本级-自有资金,49.56,601318.SH,hold_stock
000563.SZ,2020-10-29,中国农业银行股份有限公司-富国中证500指数增强型证券投资基金(LOF),0.21,601288.SH,hold_stock
000563.SZ,2020-10-29,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.25,601288.SH,hold_stock
000686.SZ,2020-10-28,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,1.2,601939.SH,hold_stock
000686.SZ,2020-10-28,中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金,0.64,601939.SH,hold_stock
000712.SZ,2020-10-31,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,0.94,601939.SH,hold_stock
000712.SZ,2020-10-31,中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金,0.52,601939.SH,hold_stock
000750.SZ,2020-10-28,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,1.4,601939.SH,hold_stock
000776.SZ,2020-10-31,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,0.78,601939.SH,hold_stock
002500.SZ,2020-10-27,中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金,0.67,601939.SH,hold_stock
002500.SZ,2020-10-27,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,1.25,601939.SH,hold_stock
002673.SZ,2020-10-23,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,1.0,601939.SH,hold_stock
002673.SZ,2020-10-23,中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金,0.55,601939.SH,hold_stock
002736.SZ,2020-10-30,北京城建投资发展股份有限公司,3.57,600266.SH,hold_stock
002736.SZ,2020-10-30,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,0.58,601939.SH,hold_stock
600258.SH,2020-10-30,中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划,1.49,600030.SH,hold_stock
600258.SH,2020-10-30,中国银行-华夏大盘精选证券投资基金,0.83,601988.SH,hold_stock
600258.SH,2020-10-30,中信证券股份有限公司-社保基金17051组合,0.82,600030.SH,hold_stock
600640.SH,2020-10-31,中国农业银行股份有限公司-华安智能生活混合型证券投资基金,0.22,601288.SH,hold_stock
600640.SH,2020-10-31,中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金,0.38,601398.SH,hold_stock
600754.SH,2020-10-31,招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF),0.48,600036.SH,hold_stock
600754.SH,2020-10-31,中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF),0.97,601818.SH,hold_stock
600754.SH,2020-10-31,中国银行-华夏大盘精选证券投资基金,0.85,601988.SH,hold_stock
600754.SH,2020-10-31,中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金,0.53,601398.SH,hold_stock
601888.SH,2020-10-28,中国工商银行-上证50交易型开放式指数证券投资基金,0.36,601398.SH,hold_stock
601888.SH,2020-10-28,中国工商银行股份有限公司-景顺长城新兴成长混合型证券投资基金,0.51,601398.SH,hold_stock
000524.SZ,2020-10-30,广州岭南集团控股股份有限公司-第一期员工持股计划,1.86,000524.SZ,hold_stock
000610.SZ,2020-10-20,西安旅游集团有限责任公司,27.29,000610.SZ,hold_stock
000721.SZ,2020-10-20,西安旅游集团有限责任公司,21.04,000610.SZ,hold_stock
000888.SZ,2020-10-30,中国工商银行股份有限公司-银华中小盘精选混合型证券投资基金,0.36,601398.SH,hold_stock
000888.SZ,2020-10-30,中国工商银行-汇添富均衡增长混合型证券投资基金,0.37,601398.SH,hold_stock
000888.SZ,2020-10-30,招商银行股份有限公司-景顺长城成长领航混合型证券投资基金,0.55,600036.SH,hold_stock
000888.SZ,2020-10-30,中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金,1.31,601939.SH,hold_stock
002159.SZ,2020-10-29,中国工商银行-国联安德盛小盘精选证券投资基金,1.73,601398.SH,hold_stock
002159.SZ,2020-10-29,招商银行股份有限公司-东方红京东大数据灵活配置混合型证券投资基金,2.62,600036.SH,hold_stock
002159.SZ,2020-10-29,中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金,4.66,601398.SH,hold_stock
002707.SZ,2020-10-31,兴业银行股份有限公司-兴全趋势投资混合型证券投资基金,1.91,601166.SH,hold_stock
002707.SZ,2020-10-31,兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金,1.22,601166.SH,hold_stock
300144.SZ,2020-10-29,兴业银行股份有限公司-兴全趋势投资混合型证券投资基金,2.14,601166.SH,hold_stock
300144.SZ,2020-10-29,中国工商银行-汇添富成长焦点混合型证券投资基金,0.94,601398.SH,hold_stock
