:END_ID(Company),annDate:date,holderFullname:string,holdRatio:double,:START_ID(Company),:TYPE
002643.SZ,2020-10-24,招商银行股份有限公司-睿远成长价值混合型证券投资基金,2.24,600036.SH,hold_stock
002648.SZ,2020-10-27,中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金,0.65,601939.SH,hold_stock
002669.SZ,2020-10-27,上海康达化工新材料集团股份有限公司-第一期员工持股计划,1.2,002669.SZ,hold_stock
002709.SZ,2020-10-27,中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF),1.45,601939.SH,hold_stock
002741.SZ,2020-10-26,广东光华科技股份有限公司-第一期员工持股计划,2.82,002741.SZ,hold_stock
300019.SZ,2020-10-23,中国建设银行股份有限公司-交银施罗德成长30混合型证券投资基金,1.23,601939.SH,hold_stock
300019.SZ,2020-10-23,中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金,0.81,601939.SH,hold_stock
300019.SZ,2020-10-23,中国工商银行股份有限公司-海富通改革驱动灵活配置混合型证券投资基金,0.81,601398.SH,hold_stock
300031.SZ,2020-10-30,无锡宝通科技股份有限公司-第二期员工持股计划,5.0,300031.SZ,hold_stock
300037.SZ,2020-10-29,招商银行股份有限公司-睿远成长价值混合型证券投资基金,2.06,600036.SH,hold_stock
300037.SZ,2020-10-29,中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金,1.53,601398.SH,hold_stock
300041.SZ,2020-10-31,湖北回天新材料股份有限公司-第二期员工持股计划,2.04,300041.SZ,hold_stock
300041.SZ,2020-10-31,湖北回天新材料股份有限公司-第一期员工持股计划,4.73,300041.SZ,hold_stock
300054.SZ,2020-10-28,兴业银行股份有限公司-兴全趋势投资混合型证券投资基金,4.84,601166.SH,hold_stock
300054.SZ,2020-10-28,兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金,4.06,601166.SH,hold_stock
300054.SZ,2020-10-28,中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金,2.59,601939.SH,hold_stock
300054.SZ,2020-10-28,中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金,1.5,601988.SH,hold_stock
300054.SZ,2020-10-28,平安银行股份有限公司-长信可转债债券型证券投资基金,1.16,000001.SZ,hold_stock
300082.SZ,2020-10-23,广东德美精细化工集团股份有限公司,4.81,002054.SZ,hold_stock
300121.SZ,2020-10-23,中国工商银行股份有限公司-诺安先锋混合型证券投资基金,2.91,601398.SH,hold_stock
300121.SZ,2020-10-23,中国建设银行股份有限公司-银华核心价值优选混合型证券投资基金,2.24,601939.SH,hold_stock
300132.SZ,2020-10-29,中国建设银行股份有限公司-易方达消费精选股票型证券投资基金,2.68,601939.SH,hold_stock
300135.SZ,2020-10-29,中国建设银行股份有限公司-广发中证全指建筑材料指数型发起式证券投资基金,0.39,601939.SH,hold_stock
300174.SZ,2020-10-20,兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金,3.8,601166.SH,hold_stock
300174.SZ,2020-10-20,兴业银行股份有限公司-兴全趋势投资混合型证券投资基金,3.8,601166.SH,hold_stock
300236.SZ,2020-10-30,中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金,2.17,601939.SH,hold_stock
300236.SZ,2020-10-30,中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金,1.2,601988.SH,hold_stock
300236.SZ,2020-10-30,上海新阳半导体材料股份有限公司-第三期员工持股计划,0.86,300236.SZ,hold_stock
300285.SZ,2020-10-27,招商银行股份有限公司-睿远成长价值混合型证券投资基金,3.03,600036.SH,hold_stock
300285.SZ,2020-10-27,中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF),2.91,601398.SH,hold_stock
300285.SZ,2020-10-27,中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金,1.86,601288.SH,hold_stock
300320.SZ,2020-10-28,中信银行股份有限公司-九泰锐益定增灵活配置混合型证券投资基金,1.2,601998.SH,hold_stock
300398.SZ,2020-10-29,中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金,1.61,601939.SH,hold_stock
300429.SZ,2020-10-30,招商银行股份有限公司-睿远成长价值混合型证券投资基金,0.78,600036.SH,hold_stock
300437.SZ,2020-10-27,中国工商银行-广发聚富开放式证券投资基金,1.36,601398.SH,hold_stock
300437.SZ,2020-10-27,中国工商银行股份有限公司-广发多策略灵活配置混合型证券投资基金,0.79,601398.SH,hold_stock
600050.SH,2020-10-22,中国联合网络通信集团有限公司,36.7548,600050.SH,hold_stock
600050.SH,2020-10-22,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪,10.3,601628.SH,hold_stock
600100.SH,2020-10-30,紫光集团有限公司,2.35,000938.SZ,hold_stock
600406.SH,2020-10-31,新华人寿保险股份有限公司-分红-团体分红-018L-FH001沪,0.88,601336.SH,hold_stock
600410.SH,2020-10-28,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.5,601288.SH,hold_stock
600498.SH,2020-10-31,招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金,0.42,600036.SH,hold_stock
600498.SH,2020-10-31,招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金,0.44,600036.SH,hold_stock
600498.SH,2020-10-31,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,1.1,601988.SH,hold_stock
600522.SH,2020-10-31,中信银行股份有限公司-交银施罗德新生活力灵活配置混合型证券投资基金,2.04,601998.SH,hold_stock
600522.SH,2020-10-31,中国建设银行股份有限公司-交银施罗德内核驱动混合型证券投资基金,1.51,601939.SH,hold_stock
600522.SH,2020-10-31,中国农业银行股份有限公司-交银施罗德定期支付双息平衡混合型证券投资基金,0.78,601288.SH,hold_stock
