name,holderId:ID(Holder),:LABEL
中国平安保险,0,Holder
香港中央结算,1,Holder
中国平安人寿保险,2,Holder
中国证券金融,3,Holder
中央汇金资产管理,4,Holder
深圳中电投资,5,Holder
河南鸿宝企业管理,6,Holder
全国社保基金,7,Holder
交通银行,8,Holder
深圳地铁,9,Holder
国信证券,10,Holder
安邦人寿保险,11,Holder
招商财富,12,Holder
深圳钜盛华,13,Holder
中国人寿保险,14,Holder
青岛海尔创业投资,15,Holder
深圳达晨财智创业投资管理,16,Holder
郭训平,17,Holder
中科汇通股权投资基金,18,Holder
中国建设银行,19,Holder
珠海横琴普源科技合伙企业,20,Holder
北京中关村大河资本投资管理中心,21,Holder
彭瀛,22,Holder
深圳中农大科技投资,23,Holder
深圳睿鸿置业发展,24,Holder
李林琳,25,Holder
顾青,26,Holder
宁波津原投资,27,Holder
谢林波,28,Holder
周建新,29,Holder
汪国新,30,Holder
深圳丰盈传褀资产管理,31,Holder
国华人寿保险,32,Holder
深圳博睿意碳源科技,33,Holder
陈栩,34,Holder
许培雅,35,Holder
陈振新,36,Holder
杭州环博投资,37,Holder
杭州钱江中小企业创业投资,38,Holder
上海泽添资产管理中心,39,Holder
上海勤幸投资管理中心,40,Holder
陈青俊,41,Holder
中国投资,42,Holder
禹宙,43,Holder
中原证券,44,Holder
深圳人民政府国有资产监督管理委员会,45,Holder
深圳资本运营,46,Holder
廖晔,47,Holder
中国农业银行,48,Holder
张德锋,49,Holder
刘瑶,50,Holder
曾运龙,51,Holder
汉富控股,52,Holder
深圳博恒投资,53,Holder
陈卓婷,54,Holder
林昌珍,55,Holder
陆尔东,56,Holder
李强,57,Holder
李钢钢,58,Holder
南通三明时装,59,Holder
张明雪,60,Holder
阳德惠,61,Holder
中国国投高新产业投资,62,Holder
北京海淀区国有资产投资经营,63,Holder
宋黎明,64,Holder
冯骏驹,65,Holder
青岛城投金融控股,66,Holder
全国社保基金六零四组合,67,Holder
王志全,68,Holder
鹏华资产,69,Holder
吴海涛,70,Holder
全国社保基金五零三组合,71,Holder
深圳富安控股,72,Holder
深圳宝安区投资管理,73,Holder
李松强,74,Holder
房地产建设开发,75,Holder
李念彪,76,Holder
聂仁和,77,Holder
欧阳学荣,78,Holder
博正资本投资,79,Holder
佳源创盛控股,80,Holder
红信鼎通资本管理,81,Holder
江阴鑫诚业展投资管理企业,82,Holder
保达投资管理,83,Holder
信达投资,84,Holder
刘艳,85,Holder
太平洋证券,86,Holder
孙财亮,87,Holder
新余瑞达投资,88,Holder
深圳投资控股,89,Holder
中国东方资产管理,90,Holder
段少腾,91,Holder
深圳免税商品企业,92,Holder
杨耀初,93,Holder
李京,94,Holder
汕头置业合信,95,Holder
兴业证券,96,Holder
麦富容,97,Holder
VANGUARD EMERGING MARKETS STOCK INDEX FUND,98,Holder
前海人寿保险,99,Holder
中国银河国际证券,100,Holder
中山润田投资,101,Holder
招商证券香港,102,Holder
深国际控股,103,Holder
UBS AG,104,Holder
深业沙河,105,Holder
李剑霆,106,Holder
张沐城,107,Holder
彭凌云,108,Holder
洪祖芳,109,Holder
张丽萍,110,Holder
深圳茂安源投资,111,Holder
杨全玉,112,Holder
林汉腾,113,Holder
陈忠民,114,Holder
华侨城,115,Holder
中信证券经纪,116,Holder
国元证券经纪,117,Holder
HOLY TIME GROUP LIMITED,118,Holder
"GAOLING FUND,L.P.",119,Holder
华夏人寿保险,120,Holder
NAM NGAI,121,Holder
Haitong International Securities Company Limited,122,Holder
SPDR Portfolio Emerging Markets ETF,123,Holder
深圳国晟能源投资发展,124,Holder
大华继显,125,Holder
国信证券经纪,126,Holder
申万宏源证券,127,Holder
李惠丽,128,Holder
徐洪波,129,Holder
葛志琼,130,Holder
深圳中华自行车破产企业财产处置专用账户,131,Holder
吴小萍,132,Holder
王淑贞,133,Holder
深圳食品,134,Holder
深圳农产品,135,Holder
上海高毅资产管理合伙企业,136,Holder
孙慧明,137,Holder
王庆和,138,Holder
林俊波,139,Holder
胡祥主,140,Holder
蔡聪达,141,Holder
深圳福德国有资本运营,142,Holder
李雍棋,143,Holder
钟振鑫,144,Holder
翁礼章,145,Holder
赛格,146,Holder
李中秋,147,Holder
韩亚明,148,Holder
李森壮,149,Holder
LI SHERYN ZHAN MING,150,Holder
钟佳潮,151,Holder
国元证劵经纪,152,Holder
长江证劵经纪,153,Holder
GOOD HOPE CORNER INVESTMENTS LTD,154,Holder
武汉中恒新科技产业,155,Holder
王建新,156,Holder
中国电子信息产业,157,Holder
博旭,158,Holder
翁仁源,159,Holder
柴长茂,160,Holder
安健,161,Holder
基本养老保险基金,162,Holder
佳兆业捷信物流,163,Holder
林孝坤,164,Holder
肖小华,165,Holder
韦深清,166,Holder
魏力军,167,Holder
彭佳佳,168,Holder
广东君浩股权投资控股,169,Holder
深圳立迅实业,170,Holder
深圳东部投资控股,171,Holder
李乐,172,Holder
叶跃平,173,Holder
嵇志杰,174,Holder
朱永翠,175,Holder
深圳特发,176,Holder
深圳远致富海珠宝产业投资企业,177,Holder
中航国际控股,178,Holder
杨祖贵,179,Holder
杨三彩,180,Holder
中银基金,181,Holder
张学尉,182,Holder
鹏华基金,183,Holder
马新亭,184,Holder
李恩海,185,Holder
沈学文,186,Holder
梁少云,187,Holder
陈重孚,188,Holder
广东电力发展,189,Holder
中证500交易型开放式指数证券投资基金,190,Holder
华能国际电力,191,Holder
全国社保基金四零七组合,192,Holder
深圳远致投资,193,Holder
BBHBOSS/AFIDELITYFD,194,Holder
中国银行,195,Holder
国药控股,196,Holder
HTHK/CMG FSGUFP,197,Holder
中国医药对外贸易,198,Holder
富达基金,199,Holder
山金金控资本管理,200,Holder
卢志高,201,Holder
谭石庆,202,Holder
杨水莲,203,Holder
杨剑雄,204,Holder
彭伟,205,Holder
吴浩源,206,Holder
GUOTAI  JUNAN SECURITIES LIMITED,207,Holder
,208,Holder
博时基金,209,Holder
中欧基金,210,Holder
南方基金,211,Holder
工银瑞信基金,212,Holder
吉林国有资本运营,213,Holder
宁波华翔电子,214,Holder
吉林天亿投资,215,Holder
叶凡,216,Holder
张忱业,217,Holder
工银瑞信投资,218,Holder
太平人寿保险,219,Holder
中粮,220,Holder
明毅,221,Holder
中国电子进出口,222,Holder
深圳龙岗区城建设投资,223,Holder
吴安,224,Holder
中电金投控股,225,Holder
焦红遇,226,Holder
陈铿帆,227,Holder
郭小球,228,Holder
张胜红,229,Holder
林振鹏,230,Holder
中国中电国际信息服务,231,Holder
中国人民人寿保险,232,Holder
张晶彦,233,Holder
中国希格玛,234,Holder
郭为,235,Holder
王晓岩,236,Holder
北京奋信投资管理,237,Holder
南通乾创投资,238,Holder
严圣军,239,Holder
上海中平国瑀并购股权投资基金合伙企业,240,Holder
南通坤德投资,241,Holder
国新国控投资管理,242,Holder
中节能华禹基金管理,243,Holder
宁波梅山保税港区昊宇龙翔股权投资中心,244,Holder
上海信银海丝投资管理,245,Holder
国同光楹投资管理,246,Holder
华联发展,247,Holder
中国工商银行,248,Holder
冯书通,249,Holder
郝洛,250,Holder
柳州佳力房地产开发,251,Holder
王志丰,252,Holder
香港南海洋行,253,Holder
深圳广聚实业,254,Holder
深圳能源,255,Holder
高华,256,Holder
BOCI SECURITIES LIMITED,257,Holder
刘芳,258,Holder
曾颖,259,Holder
美颐投资置业,260,Holder
朱兰英,261,Holder
青岛亚星实业,262,Holder
曹林芳,263,Holder
深圳意汇通投资发展,264,Holder
修涞贵,265,Holder
云南国际信托,266,Holder
华安未来资管,267,Holder
罗承,268,Holder
姜剑,269,Holder
夏东明,270,Holder
方正延中传媒,271,Holder
中远集装箱工业,272,Holder
中信保诚人寿保险,273,Holder
大成基金,274,Holder
银华基金,275,Holder
易方达基金,276,Holder
赵春来,277,Holder
江西属国有企业资产经营,278,Holder
海富通基金,279,Holder
国泓资产,280,Holder
天安人寿保险,281,Holder
前海开源基金,282,Holder
东旭,283,Holder
王逑,284,Holder
深圳前海聚优基金管理,285,Holder
深圳中洲置地,286,Holder
陕西国际信托,287,Holder
九泰基金,288,Holder
华润深国投信托,289,Holder
中铁宝盈资产,290,Holder
深圳联泰房地产开发,291,Holder
南昌联泰投资,292,Holder
深圳深超科技投资,293,Holder
吕强,294,Holder
苏伟鹏,295,Holder
李增卯,296,Holder
邝国伟,297,Holder
洪帆,298,Holder
朱烨,299,Holder
黄木顺,300,Holder
德邦创新资本,301,Holder
建信基金,302,Holder
林芝锦华投资管理,303,Holder
陈克春,304,Holder
润海投资,305,Holder
中国泛海控股,306,Holder
泛海能源控股,307,Holder
深圳京基时代实业,308,Holder
季圣智,309,Holder
梁留生,310,Holder
深圳吴川联合企业家投资,311,Holder
罗豫西,312,Holder
深圳宝达金融服务,313,Holder
高春雷,314,Holder
卢诗玮,315,Holder
王世忱,316,Holder
京基,317,Holder
广东德赛,318,Holder
张勇,319,Holder
中国太平洋人寿保险,320,Holder
金思思,321,Holder
谢声通,322,Holder
太平洋资管,323,Holder
厦门金财产业发展,324,Holder
中国航空技术深圳,325,Holder
中国航空技术国际控股,326,Holder
湖北科技投资,327,Holder
马信琪,328,Holder
武汉光谷新技术产业投资,329,Holder
中国航空技术厦门,330,Holder
深圳通产,331,Holder
SUN HUNG KAI INVESTMENT SERVICES LTD,332,Holder
共青城时利和投资管理合伙企业,333,Holder
方威,334,Holder
盛久投资,335,Holder
深圳邦林科技发展,336,Holder
曲春林,337,Holder
VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,338,Holder
刘奇,339,Holder
安信国际证券,340,Holder
陈巧玲,341,Holder
皇庭国际,342,Holder
霍孝谦,343,Holder
鍾志強,344,Holder
百利亚太投资,345,Holder
苏州和瑞九鼎投资中心,346,Holder
深圳皇庭投资管理,347,Holder
深圳皇庭产业控股,348,Holder
吴宏伟,349,Holder
深圳赛格,350,Holder
刘国成,351,Holder
刘国洪,352,Holder
龚茜华,353,Holder
林佩银,354,Holder
徐月英,355,Holder
吴蔓楠,356,Holder
重庆国际信托,357,Holder
周世玉,358,Holder
北方华锦化学工业,359,Holder
振华石油控股,360,Holder
中兵投资管理,361,Holder
黄杰,362,Holder
陈前平,363,Holder
陈忠达,364,Holder
周巍,365,Holder
侯庆虎,366,Holder
广东广晟资产经营,367,Holder
深圳广晟投资发展,368,Holder
中信保诚基金,369,Holder
云南铜业,370,Holder
广东广晟有色金属,371,Holder
宋新华,372,Holder
富德生命人寿保险,373,Holder
